# law_cat,crime_day,crime_month,duration_hours,suspect_age,suspect_sex,victim_age,victim_sex
1,27,3,12,65,1,55,0
1,20,2,1,55,1,55,1
2,29,3,1,35,1,35,0
1,29,3,1,35,1,35,0
1,25,3,1,55,1,35,0
1,27,3,1,55,1,35,0
2,30,3,1,35,0,35,1
2,22,3,1,35,0,35,1
2,22,3,1,18,0,18,0
3,30,3,1,35,1,35,1
3,29,3,1,55,1,35,1
1,29,3,1,35,1,55,1
1,24,3,1,35,1,35,0
1,28,3,3,35,1,35,0
1,24,3,2,35,1,22,0
2,19,3,266,35,1,55,1
3,29,3,2,55,0,22,1
3,22,3,1,22,1,35,0
1,26,3,1,35,1,35,0
1,30,3,1,22,1,22,0
1,26,3,2,35,1,55,1
1,11,3,377,35,1,55,1
2,19,3,1,55,1,55,0
2,24,3,121,35,1,35,0
3,20,3,242,22,0,55,1
2,22,3,2,22,1,22,0
1,29,3,1,35,1,55,0
2,30,3,1,65,0,65,1
3,22,3,2,35,1,55,0
1,24,3,1,35,1,35,0
3,26,3,1,35,1,35,1
3,24,3,1,35,1,35,1
3,15,3,1,35,1,55,1
1,23,3,2,35,1,35,1
3,20,3,19,35,1,35,0
2,29,3,1,35,1,35,1
3,19,2,1,55,1,55,0
1,18,2,2,35,1,18,1
3,31,8,562,22,0,35,0
1,25,3,1,35,1,55,1
3,23,3,2,35,1,55,1
1,28,3,2,35,0,35,1
3,30,3,1,55,0,55,1
3,30,3,1,35,1,65,1
3,25,3,1,35,1,55,0
2,30,3,1,35,1,35,1
2,22,3,1,35,1,35,0
1,30,3,2,35,1,55,1
3,30,3,6,35,1,35,1
2,31,3,1,35,1,35,1
1,24,3,3,55,1,35,0
1,30,3,1,35,0,35,0
1,30,3,2,35,1,35,0
1,27,3,1,35,0,22,0
1,31,3,2,22,0,22,0
1,27,3,1,22,1,55,1
3,23,3,1,55,0,35,1
1,27,3,1,35,1,35,1
2,24,3,1,35,1,35,1
1,22,3,1,35,1,65,0
2,27,3,1,35,1,35,0
3,26,3,1,55,1,55,0
2,26,3,2,22,1,18,0
3,10,11,5,22,1,22,0
1,24,3,1,35,1,55,1
1,26,3,1,22,1,35,1
1,30,3,1,35,1,55,1
1,27,3,2,55,0,35,0
2,25,3,1,35,1,65,1
1,22,3,2,55,1,35,0
1,28,3,2,35,1,55,0
2,20,3,1,55,0,55,1
3,17,2,974,35,0,35,1
1,29,3,1,55,1,22,1
2,27,3,1,35,1,35,1
1,24,3,2,35,1,22,0
2,28,3,3,55,0,22,1
1,26,3,1,35,1,35,0
1,27,3,2,35,1,35,0
2,17,3,5,35,1,35,1
1,24,3,1,55,1,35,0
2,23,3,1,22,1,35,1
2,26,3,6,35,1,35,0
3,24,3,1,22,1,22,0
2,29,3,1,35,1,35,0
1,29,3,1,35,1,22,0
3,21,3,59,35,0,22,1
2,22,3,1,35,1,35,0
3,30,3,2,35,1,35,1
1,28,3,1,35,1,22,0
2,28,3,1,55,1,22,1
2,26,3,1,35,1,55,1
2,24,3,9,35,1,22,0
