# suspect_age,victim_age,suspect_sex,victim_sex,crime_law,day_of_month,month,precinct
25-44,45-64,M,M,MISDEMEANOR,25,3,9
25-44,18-24,F,F,MISDEMEANOR,30,3,1
18-24,18-24,F,M,MISDEMEANOR,23,3,33
25-44,25-44,F,F,MISDEMEANOR,23,3,20
45-64,25-44,M,M,FELONY,14,3,5
25-44,65+,M,M,FELONY,25,3,10
45-64,25-44,M,M,MISDEMEANOR,25,3,23
25-44,25-44,F,M,MISDEMEANOR,30,3,5
25-44,18-24,M,F,VIOLATION,23,3,24
25-44,25-44,M,F,VIOLATION,22,3,19
25-44,65+,F,F,VIOLATION,26,3,30
25-44,25-44,M,F,MISDEMEANOR,26,3,30
25-44,25-44,M,F,MISDEMEANOR,24,3,13
18-24,45-64,M,M,FELONY,27,3,24
25-44,18-24,M,F,MISDEMEANOR,29,3,23
25-44,25-44,M,F,MISDEMEANOR,18,2,18
45-64,45-64,M,M,FELONY,30,3,6
25-44,25-44,M,F,MISDEMEANOR,21,3,33
65+,25-44,M,F,VIOLATION,22,3,30
18-24,18-24,M,F,FELONY,23,3,33
45-64,25-44,M,F,FELONY,24,3,24
18-24,18-24,M,F,FELONY,21,3,32
25-44,25-44,M,F,VIOLATION,1,1,26
25-44,25-44,M,F,MISDEMEANOR,19,3,26
25-44,25-44,M,F,MISDEMEANOR,29,3,25
25-44,25-44,F,F,VIOLATION,22,3,18
18-24,18-24,M,F,MISDEMEANOR,26,3,20
45-64,25-44,M,M,MISDEMEANOR,30,3,9
18-24,45-64,M,F,VIOLATION,26,3,7
<18,25-44,M,F,MISDEMEANOR,23,3,9
25-44,25-44,M,F,MISDEMEANOR,25,3,30
25-44,25-44,M,F,FELONY,24,3,18
25-44,45-64,F,F,FELONY,28,3,18
25-44,25-44,F,M,FELONY,25,3,32
45-64,45-64,F,F,MISDEMEANOR,29,3,23
25-44,25-44,F,M,MISDEMEANOR,18,3,25
25-44,45-64,M,F,VIOLATION,30,3,1
25-44,25-44,M,F,FELONY,27,3,1
45-64,45-64,F,F,VIOLATION,25,3,32
45-64,45-64,F,F,VIOLATION,29,3,24
45-64,25-44,F,F,VIOLATION,26,1,5
25-44,45-64,M,M,FELONY,24,3,18
25-44,45-64,F,F,VIOLATION,22,3,28
25-44,45-64,F,F,VIOLATION,19,3,24
18-24,18-24,M,F,FELONY,31,3,20
65+,45-64,F,M,VIOLATION,22,3,34
18-24,45-64,M,M,FELONY,28,3,22
45-64,45-64,M,M,FELONY,27,3,33
25-44,25-44,M,M,MISDEMEANOR,27,3,34
25-44,25-44,M,F,VIOLATION,24,3,7
25-44,25-44,M,F,VIOLATION,31,3,26
25-44,25-44,M,M,VIOLATION,25,3,33
45-64,25-44,M,M,FELONY,27,3,14
25-44,18-24,F,M,MISDEMEANOR,28,3,10
25-44,25-44,M,M,FELONY,23,3,13
