# precinct,law_category,crime_day,crime_month,suspect_age,suspect_sex,victim_age,victim_sex
9,MISDEMEANOR,25,3,25-44,M,45-64,M
1,MISDEMEANOR,30,3,25-44,F,18-24,F
33,MISDEMEANOR,23,3,18-24,F,18-24,M
20,MISDEMEANOR,23,3,25-44,F,25-44,F
5,FELONY,14,3,45-64,M,25-44,M
10,FELONY,25,3,25-44,M,65+,M
23,MISDEMEANOR,25,3,45-64,M,25-44,M
5,MISDEMEANOR,30,3,25-44,F,25-44,M
24,VIOLATION,23,3,25-44,M,18-24,F
19,VIOLATION,22,3,25-44,M,25-44,F
30,VIOLATION,26,3,25-44,F,65+,F
30,MISDEMEANOR,26,3,25-44,M,25-44,F
13,MISDEMEANOR,24,3,25-44,M,25-44,F
24,FELONY,27,3,18-24,M,45-64,M
23,MISDEMEANOR,29,3,25-44,M,18-24,F
18,MISDEMEANOR,18,2,25-44,M,25-44,F
6,FELONY,30,3,45-64,M,45-64,M
33,MISDEMEANOR,21,3,25-44,M,25-44,F
30,VIOLATION,22,3,65+,M,25-44,F
33,FELONY,23,3,18-24,M,18-24,F
24,FELONY,24,3,45-64,M,25-44,F
32,FELONY,21,3,18-24,M,18-24,F
26,VIOLATION,1,1,25-44,M,25-44,F
26,MISDEMEANOR,19,3,25-44,M,25-44,F
25,MISDEMEANOR,29,3,25-44,M,25-44,F
18,VIOLATION,22,3,25-44,F,25-44,F
20,MISDEMEANOR,26,3,18-24,M,18-24,F
9,MISDEMEANOR,30,3,45-64,M,25-44,M
7,VIOLATION,26,3,18-24,M,45-64,F
9,MISDEMEANOR,23,3,<18,M,25-44,F
30,MISDEMEANOR,25,3,25-44,M,25-44,F
18,FELONY,24,3,25-44,M,25-44,F
18,FELONY,28,3,25-44,F,45-64,F
32,FELONY,25,3,25-44,F,25-44,M
23,MISDEMEANOR,29,3,45-64,F,45-64,F
25,MISDEMEANOR,18,3,25-44,F,25-44,M
1,VIOLATION,30,3,25-44,M,45-64,F
1,FELONY,27,3,25-44,M,25-44,F
32,VIOLATION,25,3,45-64,F,45-64,F
24,VIOLATION,29,3,45-64,F,45-64,F
5,VIOLATION,26,1,45-64,F,25-44,F
18,FELONY,24,3,25-44,M,45-64,M
28,VIOLATION,22,3,25-44,F,45-64,F
24,VIOLATION,19,3,25-44,F,45-64,F
20,FELONY,31,3,18-24,M,18-24,F
34,VIOLATION,22,3,65+,F,45-64,M
22,FELONY,28,3,18-24,M,45-64,M
33,FELONY,27,3,45-64,M,45-64,M
34,MISDEMEANOR,27,3,25-44,M,25-44,M
7,VIOLATION,24,3,25-44,M,25-44,F
26,VIOLATION,31,3,25-44,M,25-44,F
33,VIOLATION,25,3,25-44,M,25-44,M
14,FELONY,27,3,45-64,M,25-44,M
10,MISDEMEANOR,28,3,25-44,F,18-24,M
13,FELONY,23,3,25-44,M,25-44,M
7,FELONY,25,3,45-64,F,25-44,F
33,MISDEMEANOR,27,3,45-64,M,25-44,M
18,VIOLATION,30,3,25-44,M,25-44,M
23,MISDEMEANOR,24,3,25-44,M,25-44,F
6,FELONY,24,3,25-44,M,25-44,M
33,MISDEMEANOR,26,3,18-24,M,18-24,F
5,MISDEMEANOR,30,3,25-44,M,25-44,M
34,VIOLATION,24,3,25-44,M,25-44,M
13,VIOLATION,26,3,25-44,F,45-64,M
14,VIOLATION,28,3,25-44,M,25-44,M
23,MISDEMEANOR,30,3,25-44,M,45-64,M
13,MISDEMEANOR,25,3,25-44,M,25-44,F
5,VIOLATION,30,3,65+,M,65+,F
14,MISDEMEANOR,27,3,25-44,F,25-44,F
14,MISDEMEANOR,29,3,25-44,M,18-24,F
14,MISDEMEANOR,23,3,18-24,M,18-24,M
30,VIOLATION,13,3,25-44,M,25-44,F
9,MISDEMEANOR,27,3,65+,M,45-64,F
28,MISDEMEANOR,20,2,45-64,M,45-64,M
22,VIOLATION,29,3,25-44,M,25-44,F
23,MISDEMEANOR,29,3,25-44,M,25-44,F
19,MISDEMEANOR,25,3,45-64,M,25-44,F
17,MISDEMEANOR,27,3,45-64,M,25-44,F
23,VIOLATION,30,3,25-44,F,25-44,M
30,VIOLATION,22,3,25-44,F,25-44,M
7,VIOLATION,22,3,<18,F,<18,F
25,FELONY,30,3,25-44,M,25-44,M
19,FELONY,29,3,45-64,M,25-44,M
19,MISDEMEANOR,29,3,25-44,M,45-64,M
28,MISDEMEANOR,24,3,25-44,M,25-44,F
19,MISDEMEANOR,28,3,25-44,M,25-44,F
7,MISDEMEANOR,24,3,25-44,M,18-24,F
20,VIOLATION,19,3,25-44,M,45-64,M
19,FELONY,29,3,45-64,F,18-24,M
32,FELONY,22,3,18-24,M,25-44,F
24,MISDEMEANOR,26,3,25-44,M,25-44,F
24,MISDEMEANOR,30,3,18-24,M,18-24,F
9,MISDEMEANOR,26,3,25-44,M,45-64,M
23,MISDEMEANOR,11,3,25-44,M,45-64,M
32,VIOLATION,19,3,45-64,M,45-64,F
32,VIOLATION,24,3,25-44,M,25-44,F
25,FELONY,20,3,18-24,F,45-64,M
28,VIOLATION,22,3,18-24,M,18-24,F
18,MISDEMEANOR,29,3,25-44,M,45-64,F
13,VIOLATION,30,3,65+,F,65+,M
18,FELONY,22,3,25-44,M,45-64,F
30,MISDEMEANOR,24,3,25-44,M,25-44,F
25,FELONY,26,3,25-44,M,25-44,M
26,FELONY,24,3,25-44,M,25-44,M
