# precinct,law_category,crime_day,crime_month,suspect_age,suspect_sex,victim_age,victim_sex
17,VIOLATION,21,2,25-44,F,65+,F
13,MISDEMEANOR,27,2,18-24,F,18-24,F
25,FELONY,28,1,18-24,F,45-64,F
33,MISDEMEANOR,25,2,18-24,F,45-64,F
25,VIOLATION,22,2,<18,M,25-44,F
18,FELONY,23,2,45-64,M,45-64,M
24,FELONY,26,2,<18,M,65+,M
9,VIOLATION,7,2,18-24,M,25-44,F
17,VIOLATION,9,2,45-64,M,25-44,M
13,MISDEMEANOR,24,2,25-44,M,45-64,M
30,VIOLATION,23,2,65+,F,25-44,F
25,FELONY,24,1,18-24,M,25-44,F
5,MISDEMEANOR,27,2,25-44,M,25-44,F
9,VIOLATION,15,2,45-64,F,65+,F
23,VIOLATION,27,2,25-44,M,25-44,F
13,MISDEMEANOR,17,2,18-24,M,18-24,F
18,MISDEMEANOR,27,2,25-44,M,25-44,M
34,FELONY,26,2,25-44,F,25-44,M
34,MISDEMEANOR,21,2,18-24,F,18-24,F
13,MISDEMEANOR,25,2,45-64,M,25-44,F
18,VIOLATION,24,2,25-44,F,45-64,M
9,VIOLATION,18,2,65+,F,25-44,F
13,FELONY,21,2,25-44,M,18-24,M
23,VIOLATION,20,2,45-64,M,25-44,F
32,MISDEMEANOR,24,2,25-44,M,<18,M
5,MISDEMEANOR,16,2,45-64,M,25-44,F
33,VIOLATION,24,2,45-64,M,25-44,F
32,VIOLATION,26,2,25-44,F,65+,F
14,VIOLATION,22,2,65+,F,45-64,M
14,FELONY,27,2,25-44,M,45-64,M
25,FELONY,22,2,<18,M,<18,F
19,FELONY,27,2,18-24,M,45-64,F
23,VIOLATION,24,2,25-44,M,25-44,F
14,FELONY,20,2,45-64,M,25-44,M
24,VIOLATION,27,2,65+,M,65+,F
18,MISDEMEANOR,25,2,45-64,M,45-64,F
19,MISDEMEANOR,24,2,45-64,M,25-44,F
28,MISDEMEANOR,18,2,25-44,M,25-44,F
30,VIOLATION,24,2,25-44,M,25-44,F
33,MISDEMEANOR,18,2,25-44,M,25-44,F
14,FELONY,24,2,25-44,M,25-44,M
33,MISDEMEANOR,19,2,25-44,M,25-44,F
14,FELONY,25,2,18-24,F,45-64,M
10,VIOLATION,21,2,25-44,M,25-44,M
32,MISDEMEANOR,1,3,18-24,F,25-44,F
28,MISDEMEANOR,24,2,45-64,F,45-64,F
24,FELONY,20,2,25-44,M,25-44,F
30,MISDEMEANOR,25,2,25-44,M,25-44,F
5,MISDEMEANOR,20,2,18-24,F,45-64,F
6,VIOLATION,12,2,25-44,M,25-44,M
14,VIOLATION,21,2,18-24,M,25-44,M
30,VIOLATION,25,2,45-64,M,25-44,F
18,VIOLATION,23,2,45-64,M,25-44,M
28,VIOLATION,22,2,18-24,M,25-44,F
24,FELONY,14,2,25-44,F,45-64,F
26,VIOLATION,17,2,25-44,M,25-44,M
19,VIOLATION,24,2,65+,F,25-44,M
19,MISDEMEANOR,25,2,25-44,M,18-24,F
14,MISDEMEANOR,27,2,25-44,F,25-44,M
28,FELONY,24,2,25-44,M,25-44,F
5,VIOLATION,23,2,25-44,M,45-64,M
13,VIOLATION,25,2,45-64,M,25-44,M
30,VIOLATION,22,2,25-44,F,25-44,F
17,FELONY,21,2,18-24,M,18-24,F
13,FELONY,28,2,45-64,M,25-44,F
33,MISDEMEANOR,24,2,45-64,M,45-64,F
19,VIOLATION,22,2,25-44,M,45-64,F
30,MISDEMEANOR,1,3,25-44,F,45-64,M
33,MISDEMEANOR,26,2,25-44,M,45-64,F
23,MISDEMEANOR,23,2,25-44,M,25-44,F
23,VIOLATION,20,2,25-44,F,25-44,M
32,MISDEMEANOR,28,2,25-44,F,<18,F
20,FELONY,8,2,25-44,M,18-24,F
14,MISDEMEANOR,20,2,25-44,M,18-24,M
28,FELONY,1,3,25-44,M,25-44,M
23,MISDEMEANOR,5,1,25-44,F,25-44,F
7,VIOLATION,21,2,45-64,M,25-44,F
6,FELONY,20,2,25-44,M,65+,F
25,VIOLATION,22,2,45-64,M,45-64,F
10,MISDEMEANOR,25,2,45-64,M,25-44,M
24,VIOLATION,24,2,45-64,M,45-64,F
18,VIOLATION,22,2,25-44,M,45-64,M
9,VIOLATION,6,8,65+,M,25-44,M
25,VIOLATION,28,2,45-64,M,25-44,F
24,FELONY,26,2,18-24,F,25-44,F
24,VIOLATION,15,2,25-44,M,45-64,F
17,VIOLATION,23,2,25-44,M,45-64,F
19,MISDEMEANOR,20,2,25-44,M,25-44,F
30,MISDEMEANOR,1,3,45-64,M,25-44,F
26,FELONY,27,2,25-44,M,25-44,M
32,FELONY,27,2,25-44,M,25-44,F
25,VIOLATION,25,2,25-44,F,18-24,F
34,MISDEMEANOR,26,2,25-44,M,25-44,F
26,VIOLATION,20,2,25-44,M,45-64,M
30,MISDEMEANOR,25,2,45-64,M,65+,M
32,VIOLATION,17,2,25-44,M,18-24,M
23,VIOLATION,28,2,25-44,M,25-44,F
32,VIOLATION,28,2,18-24,M,18-24,F
19,MISDEMEANOR,1,3,45-64,M,25-44,F
6,VIOLATION,21,2,45-64,M,65+,F
23,FELONY,20,2,25-44,M,25-44,M
20,FELONY,9,2,25-44,M,25-44,F
32,MISDEMEANOR,20,2,25-44,M,45-64,F
19,FELONY,9,2,25-44,M,65+,M
5,MISDEMEANOR,25,2,25-44,M,25-44,M
17,FELONY,23,2,25-44,M,18-24,F
18,MISDEMEANOR,6,2,25-44,M,25-44,F
30,VIOLATION,23,2,25-44,M,45-64,M
7,VIOLATION,24,2,45-64,M,65+,F
33,FELONY,24,2,18-24,M,25-44,M
28,MISDEMEANOR,24,2,25-44,M,25-44,F
23,MISDEMEANOR,23,2,25-44,F,25-44,F
14,FELONY,26,2,25-44,M,45-64,M
34,FELONY,21,2,25-44,F,45-64,F
5,MISDEMEANOR,22,2,25-44,M,25-44,F
13,VIOLATION,19,2,45-64,M,25-44,M
10,MISDEMEANOR,22,2,25-44,F,25-44,M
34,MISDEMEANOR,24,2,25-44,F,25-44,F
17,MISDEMEANOR,23,2,25-44,M,25-44,M
28,FELONY,27,2,25-44,M,25-44,F
34,VIOLATION,20,2,18-24,F,45-64,F
23,MISDEMEANOR,16,2,18-24,M,18-24,F
30,MISDEMEANOR,23,2,25-44,F,25-44,M
17,FELONY,21,2,25-44,M,18-24,F
7,VIOLATION,21,2,<18,M,45-64,F
25,FELONY,23,2,45-64,M,45-64,F
25,FELONY,23,2,25-44,M,25-44,M
34,MISDEMEANOR,22,2,25-44,M,25-44,F
20,FELONY,25,2,25-44,M,25-44,F
24,FELONY,28,2,25-44,M,25-44,F
17,FELONY,23,2,18-24,M,25-44,M
18,MISDEMEANOR,28,2,45-64,M,25-44,F
28,FELONY,22,2,25-44,M,25-44,F
28,MISDEMEANOR,23,2,25-44,M,45-64,M
17,MISDEMEANOR,20,2,25-44,M,45-64,F
33,MISDEMEANOR,1,3,18-24,M,18-24,F
25,MISDEMEANOR,26,2,45-64,M,25-44,F
19,FELONY,25,11,25-44,M,65+,M
23,MISDEMEANOR,23,2,25-44,M,25-44,F
34,MISDEMEANOR,24,2,45-64,M,<18,M
23,MISDEMEANOR,24,2,45-64,M,25-44,M
28,MISDEMEANOR,1,3,25-44,M,18-24,F
9,MISDEMEANOR,24,2,45-64,M,25-44,M
18,VIOLATION,25,2,25-44,M,45-64,F
34,MISDEMEANOR,27,2,25-44,M,18-24,M
17,VIOLATION,25,2,18-24,M,18-24,F
19,VIOLATION,22,2,25-44,M,25-44,M
17,VIOLATION,26,2,45-64,F,25-44,F
18,MISDEMEANOR,1,3,25-44,M,25-44,M
30,VIOLATION,22,2,45-64,M,25-44,M
28,MISDEMEANOR,20,2,45-64,F,<18,M
24,MISDEMEANOR,24,2,18-24,M,45-64,F
18,FELONY,21,2,18-24,M,25-44,M
14,MISDEMEANOR,20,2,25-44,M,45-64,M
25,MISDEMEANOR,13,2,25-44,M,25-44,F
14,VIOLATION,20,2,45-64,M,<18,M
9,MISDEMEANOR,19,2,25-44,M,25-44,F
14,VIOLATION,28,2,45-64,M,65+,M
30,MISDEMEANOR,27,2,18-24,M,18-24,M
28,FELONY,1,3,25-44,M,25-44,F
34,VIOLATION,22,2,18-24,F,25-44,M
34,MISDEMEANOR,24,2,25-44,M,45-64,M
19,MISDEMEANOR,25,2,25-44,M,45-64,F
9,MISDEMEANOR,23,2,45-64,F,25-44,F
9,FELONY,28,2,45-64,M,45-64,F
28,MISDEMEANOR,28,2,25-44,M,25-44,M
28,VIOLATION,23,2,45-64,F,65+,M
9,VIOLATION,21,2,25-44,F,45-64,M
7,MISDEMEANOR,20,2,25-44,F,25-44,M
23,VIOLATION,20,2,25-44,M,45-64,F
25,VIOLATION,25,2,18-24,F,25-44,F
24,MISDEMEANOR,28,2,25-44,M,25-44,M
23,VIOLATION,25,2,25-44,M,25-44,F
24,VIOLATION,22,2,25-44,M,25-44,F
10,MISDEMEANOR,26,2,25-44,M,25-44,F
18,MISDEMEANOR,28,2,25-44,M,25-44,M
24,MISDEMEANOR,23,2,25-44,M,65+,M
24,VIOLATION,10,2,25-44,F,25-44,F
14,MISDEMEANOR,23,2,18-24,M,25-44,M
28,FELONY,2,2,25-44,M,25-44,F
23,MISDEMEANOR,29,10,25-44,M,25-44,F
9,VIOLATION,30,9,25-44,M,25-44,F
30,VIOLATION,27,2,25-44,M,25-44,F
33,VIOLATION,18,2,25-44,M,25-44,M
24,MISDEMEANOR,27,2,25-44,M,25-44,M
10,VIOLATION,1,3,45-64,M,65+,F
23,VIOLATION,20,2,18-24,F,45-64,F
34,VIOLATION,19,2,25-44,M,18-24,F
13,VIOLATION,27,2,25-44,M,<18,F
25,MISDEMEANOR,26,2,25-44,M,18-24,M
32,VIOLATION,20,2,<18,M,65+,F
28,MISDEMEANOR,19,2,25-44,M,25-44,F
17,MISDEMEANOR,26,2,45-64,M,45-64,M
28,VIOLATION,20,2,45-64,M,45-64,M
13,FELONY,19,2,25-44,M,25-44,M
32,MISDEMEANOR,24,2,18-24,M,18-24,F
24,MISDEMEANOR,27,2,25-44,M,25-44,M
32,VIOLATION,23,2,45-64,M,65+,M
32,VIOLATION,11,2,25-44,M,45-64,F
25,MISDEMEANOR,22,2,65+,F,25-44,F
18,VIOLATION,16,2,45-64,M,45-64,M
14,VIOLATION,25,2,25-44,M,25-44,F
14,FELONY,22,2,25-44,M,25-44,F
10,VIOLATION,27,2,25-44,M,45-64,M
24,VIOLATION,28,2,45-64,M,25-44,F
34,MISDEMEANOR,17,11,45-64,M,25-44,F
7,VIOLATION,24,2,25-44,M,18-24,M
32,VIOLATION,1,3,25-44,F,45-64,M
23,MISDEMEANOR,27,2,25-44,F,25-44,F
32,VIOLATION,23,2,25-44,M,25-44,F
30,MISDEMEANOR,24,2,45-64,M,25-44,F
17,MISDEMEANOR,28,2,25-44,F,25-44,F
32,FELONY,27,2,45-64,M,45-64,M
19,FELONY,9,12,45-64,F,25-44,F
14,VIOLATION,26,2,18-24,M,25-44,M
20,MISDEMEANOR,27,2,25-44,M,25-44,M
7,VIOLATION,24,2,65+,F,45-64,M
5,FELONY,28,2,18-24,M,25-44,M
30,FELONY,21,2,25-44,M,45-64,M
19,FELONY,20,2,25-44,M,45-64,M
24,VIOLATION,8,2,25-44,M,45-64,F
25,VIOLATION,1,3,45-64,M,65+,F
23,VIOLATION,25,2,25-44,M,25-44,F
1,VIOLATION,24,2,25-44,M,25-44,M
24,VIOLATION,26,2,45-64,M,25-44,F
23,VIOLATION,28,2,18-24,M,18-24,F
7,VIOLATION,21,2,25-44,F,45-64,F
34,VIOLATION,20,2,25-44,M,65+,F
23,MISDEMEANOR,26,2,18-24,M,18-24,F
32,FELONY,24,2,18-24,M,45-64,F
34,MISDEMEANOR,20,2,25-44,F,25-44,F
6,FELONY,1,3,45-64,M,18-24,F
25,VIOLATION,1,3,25-44,M,45-64,M
17,FELONY,19,2,25-44,F,45-64,F
23,MISDEMEANOR,24,2,25-44,M,65+,M
18,VIOLATION,24,2,25-44,M,45-64,M
9,MISDEMEANOR,25,2,18-24,M,18-24,F
19,MISDEMEANOR,26,2,25-44,M,25-44,M
5,FELONY,25,2,45-64,M,45-64,F
13,FELONY,24,2,25-44,F,25-44,M
24,MISDEMEANOR,25,2,25-44,M,25-44,M
28,VIOLATION,24,2,25-44,M,25-44,M
14,FELONY,25,2,25-44,M,25-44,F
9,FELONY,27,2,65+,M,25-44,F
25,FELONY,22,2,65+,F,<18,M
10,MISDEMEANOR,28,2,25-44,M,25-44,F
19,MISDEMEANOR,23,2,45-64,M,45-64,F
24,MISDEMEANOR,23,2,45-64,M,25-44,F
32,MISDEMEANOR,28,2,45-64,M,45-64,F
1,MISDEMEANOR,28,2,25-44,M,18-24,M
30,VIOLATION,21,2,45-64,F,25-44,F
24,FELONY,26,2,45-64,M,18-24,F
6,MISDEMEANOR,25,2,45-64,F,25-44,F
32,VIOLATION,23,2,25-44,F,25-44,F
30,VIOLATION,20,2,25-44,F,45-64,M
13,FELONY,23,2,25-44,M,25-44,M
6,FELONY,19,2,25-44,M,25-44,M
14,FELONY,24,2,25-44,M,25-44,M
19,FELONY,28,2,25-44,M,45-64,M
32,MISDEMEANOR,21,2,18-24,M,18-24,F
23,MISDEMEANOR,24,2,25-44,M,25-44,F
32,VIOLATION,27,2,25-44,M,25-44,F
32,MISDEMEANOR,25,2,25-44,M,25-44,M
26,VIOLATION,28,2,<18,M,25-44,F
33,VIOLATION,25,2,25-44,M,25-44,F
18,MISDEMEANOR,23,2,25-44,M,45-64,M
9,MISDEMEANOR,21,2,25-44,M,25-44,F
23,VIOLATION,12,2,25-44,M,25-44,F
14,MISDEMEANOR,22,2,25-44,M,25-44,F
32,MISDEMEANOR,28,2,18-24,M,18-24,F
24,FELONY,27,2,25-44,F,25-44,M
13,MISDEMEANOR,26,2,45-64,M,45-64,F
33,MISDEMEANOR,24,2,25-44,F,25-44,F
20,MISDEMEANOR,29,11,25-44,F,25-44,M
34,VIOLATION,18,2,25-44,M,45-64,M
30,FELONY,1,3,25-44,M,25-44,F
30,FELONY,26,2,25-44,M,25-44,M
9,MISDEMEANOR,25,2,25-44,M,25-44,F
28,FELONY,24,2,18-24,M,25-44,M
14,MISDEMEANOR,5,2,25-44,M,25-44,F
30,MISDEMEANOR,27,2,18-24,M,<18,F
28,VIOLATION,28,2,45-64,M,25-44,M
18,FELONY,21,2,25-44,M,25-44,M
24,VIOLATION,23,2,45-64,M,45-64,F
28,MISDEMEANOR,19,2,25-44,M,25-44,F
20,MISDEMEANOR,22,2,25-44,M,25-44,F
34,MISDEMEANOR,17,10,25-44,M,<18,F
1,VIOLATION,20,2,25-44,M,45-64,M
34,MISDEMEANOR,21,2,25-44,M,25-44,F
14,MISDEMEANOR,6,10,25-44,M,45-64,M
5,MISDEMEANOR,24,2,25-44,M,25-44,M
32,FELONY,23,2,45-64,M,45-64,M
30,MISDEMEANOR,24,2,25-44,M,25-44,M
7,FELONY,24,2,25-44,F,25-44,F
7,MISDEMEANOR,24,2,<18,F,<18,F
33,VIOLATION,28,2,25-44,M,25-44,F
17,VIOLATION,28,2,65+,F,25-44,F
28,MISDEMEANOR,23,11,18-24,M,25-44,F
28,FELONY,21,2,25-44,M,25-44,M
26,FELONY,27,2,45-64,M,45-64,F
23,MISDEMEANOR,25,2,25-44,M,25-44,F
23,VIOLATION,20,2,45-64,M,25-44,F
32,MISDEMEANOR,22,2,18-24,M,18-24,F
32,MISDEMEANOR,23,2,25-44,M,45-64,M
28,FELONY,25,2,25-44,F,25-44,M
6,MISDEMEANOR,21,2,25-44,F,25-44,F
1,MISDEMEANOR,1,3,25-44,M,45-64,M
20,FELONY,20,2,25-44,M,65+,F
18,MISDEMEANOR,22,2,18-24,M,18-24,M
18,MISDEMEANOR,1,3,<18,M,18-24,M
28,VIOLATION,1,3,65+,M,45-64,F
24,MISDEMEANOR,27,2,18-24,F,18-24,M
30,MISDEMEANOR,1,3,45-64,M,45-64,M
33,VIOLATION,23,2,25-44,M,25-44,M
18,VIOLATION,22,2,25-44,M,25-44,M
19,VIOLATION,22,2,45-64,M,45-64,M
24,MISDEMEANOR,28,6,25-44,M,18-24,F
6,MISDEMEANOR,21,2,25-44,F,25-44,F
32,MISDEMEANOR,1,1,25-44,M,18-24,F
10,FELONY,28,2,45-64,M,45-64,F
9,VIOLATION,25,2,<18,F,25-44,M
14,VIOLATION,27,2,18-24,F,45-64,F
33,VIOLATION,21,2,18-24,F,25-44,F
33,FELONY,20,2,18-24,M,18-24,F
19,FELONY,22,2,25-44,F,45-64,F
18,MISDEMEANOR,25,2,45-64,M,45-64,M
14,VIOLATION,21,2,18-24,F,25-44,M
26,MISDEMEANOR,11,2,<18,M,45-64,M
7,MISDEMEANOR,21,2,65+,M,65+,M
32,VIOLATION,20,2,25-44,M,25-44,F
5,MISDEMEANOR,13,2,45-64,F,45-64,F
13,VIOLATION,28,2,<18,M,25-44,M
34,VIOLATION,20,2,65+,M,18-24,F
25,FELONY,24,2,45-64,M,25-44,F
23,MISDEMEANOR,26,2,18-24,M,65+,M
1,MISDEMEANOR,26,2,25-44,M,25-44,F
19,VIOLATION,20,2,25-44,M,25-44,M
24,MISDEMEANOR,8,2,25-44,F,25-44,F
32,MISDEMEANOR,11,8,25-44,M,25-44,M
17,MISDEMEANOR,20,2,45-64,F,25-44,F
18,FELONY,22,2,25-44,M,25-44,F
28,FELONY,1,3,25-44,M,25-44,F
6,VIOLATION,21,2,18-24,M,65+,F
30,FELONY,24,2,25-44,F,25-44,F
7,MISDEMEANOR,21,2,45-64,M,25-44,F
30,FELONY,27,2,18-24,M,<18,F
1,VIOLATION,19,2,25-44,M,18-24,F
17,VIOLATION,1,3,45-64,M,25-44,M
32,VIOLATION,19,2,25-44,F,25-44,M
13,FELONY,25,2,18-24,F,<18,M
10,VIOLATION,21,2,45-64,M,25-44,F
32,FELONY,26,2,25-44,M,25-44,F
28,FELONY,23,2,25-44,F,25-44,F
14,FELONY,20,2,<18,F,18-24,F
33,FELONY,28,2,25-44,F,25-44,F
25,VIOLATION,24,2,25-44,F,45-64,M
28,VIOLATION,27,2,45-64,F,25-44,F
13,MISDEMEANOR,16,2,25-44,M,45-64,F
9,FELONY,22,2,25-44,M,25-44,F
7,MISDEMEANOR,20,2,25-44,M,18-24,F
34,VIOLATION,23,2,65+,F,25-44,M
7,MISDEMEANOR,12,1,25-44,F,25-44,M
18,MISDEMEANOR,26,2,25-44,M,25-44,M
7,MISDEMEANOR,25,2,18-24,M,25-44,F
13,VIOLATION,21,2,25-44,F,45-64,F
24,MISDEMEANOR,20,2,25-44,M,18-24,F
25,MISDEMEANOR,28,2,45-64,M,45-64,M
18,VIOLATION,16,2,18-24,M,65+,F
19,VIOLATION,26,2,25-44,M,45-64,F
14,VIOLATION,13,1,18-24,M,18-24,F
19,MISDEMEANOR,22,2,45-64,M,45-64,F
5,MISDEMEANOR,19,2,45-64,M,25-44,F
33,VIOLATION,24,2,25-44,F,25-44,F
24,VIOLATION,22,2,45-64,F,18-24,M
34,FELONY,19,2,25-44,M,45-64,M
28,VIOLATION,27,2,45-64,M,65+,F
32,MISDEMEANOR,19,2,25-44,M,25-44,F
32,MISDEMEANOR,22,2,25-44,F,<18,F
32,MISDEMEANOR,22,2,45-64,M,25-44,F
30,MISDEMEANOR,1,3,25-44,M,25-44,F
13,MISDEMEANOR,18,2,45-64,F,45-64,F
1,MISDEMEANOR,27,2,18-24,F,25-44,F
7,FELONY,28,2,45-64,M,25-44,F
23,FELONY,21,2,45-64,M,25-44,M
14,FELONY,20,2,25-44,M,45-64,M
30,FELONY,25,2,25-44,M,25-44,F
30,VIOLATION,1,3,45-64,F,25-44,F
30,MISDEMEANOR,27,2,<18,F,45-64,F
17,FELONY,21,2,18-24,F,18-24,M
14,MISDEMEANOR,21,2,25-44,M,25-44,M
23,MISDEMEANOR,22,2,18-24,M,25-44,F
33,MISDEMEANOR,1,3,25-44,M,25-44,M
28,VIOLATION,22,2,25-44,F,25-44,F
18,VIOLATION,22,2,45-64,M,25-44,M
14,FELONY,25,2,18-24,F,25-44,M
32,MISDEMEANOR,19,2,25-44,M,25-44,M
6,MISDEMEANOR,18,12,18-24,M,18-24,F
33,MISDEMEANOR,22,2,25-44,M,25-44,M
19,MISDEMEANOR,14,7,45-64,F,45-64,M
32,VIOLATION,21,2,45-64,M,18-24,F
24,FELONY,18,2,45-64,M,65+,M
18,VIOLATION,1,3,25-44,M,18-24,M
7,VIOLATION,21,2,45-64,F,25-44,F
18,MISDEMEANOR,1,3,25-44,M,18-24,F
33,FELONY,23,10,25-44,M,25-44,F
19,MISDEMEANOR,25,2,45-64,M,65+,M
33,MISDEMEANOR,23,2,25-44,M,25-44,F
32,MISDEMEANOR,18,2,25-44,M,25-44,M
7,MISDEMEANOR,24,2,25-44,M,25-44,M
23,VIOLATION,21,2,65+,M,18-24,F
14,VIOLATION,27,2,25-44,M,25-44,M
19,MISDEMEANOR,22,2,25-44,M,25-44,F
24,VIOLATION,22,2,25-44,M,45-64,M
33,VIOLATION,25,2,25-44,M,<18,M
17,VIOLATION,23,2,25-44,F,25-44,F
1,VIOLATION,25,2,18-24,M,25-44,M
24,MISDEMEANOR,20,2,25-44,M,45-64,F
14,MISDEMEANOR,20,2,18-24,M,25-44,F
34,MISDEMEANOR,21,2,25-44,M,25-44,F
23,MISDEMEANOR,20,2,25-44,F,25-44,M
18,FELONY,20,2,25-44,M,45-64,M
10,FELONY,28,2,25-44,M,65+,M
24,FELONY,1,9,25-44,M,25-44,F
18,MISDEMEANOR,22,2,25-44,M,45-64,M
10,MISDEMEANOR,26,2,25-44,F,25-44,F
6,MISDEMEANOR,13,2,25-44,M,18-24,F
13,VIOLATION,23,2,25-44,M,25-44,M
30,VIOLATION,25,2,25-44,M,25-44,F
34,MISDEMEANOR,26,2,25-44,M,25-44,F
34,FELONY,24,2,25-44,M,25-44,F
5,VIOLATION,28,2,18-24,M,45-64,M
25,MISDEMEANOR,26,2,45-64,M,45-64,F
25,MISDEMEANOR,27,2,25-44,M,25-44,F
18,VIOLATION,25,2,18-24,M,25-44,M
34,MISDEMEANOR,22,2,25-44,M,45-64,F
30,MISDEMEANOR,21,2,45-64,M,25-44,F
22,MISDEMEANOR,21,2,18-24,M,25-44,M
23,MISDEMEANOR,23,2,18-24,M,18-24,F
19,FELONY,11,2,25-44,M,25-44,F
14,MISDEMEANOR,24,2,25-44,F,25-44,M
14,VIOLATION,27,2,18-24,M,18-24,F
9,VIOLATION,19,2,25-44,M,18-24,F
1,FELONY,27,2,18-24,M,18-24,M
24,MISDEMEANOR,19,2,25-44,M,45-64,M
7,MISDEMEANOR,12,2,25-44,F,25-44,M
14,MISDEMEANOR,19,2,45-64,M,45-64,M
26,MISDEMEANOR,17,2,45-64,M,25-44,F
24,FELONY,27,2,18-24,M,18-24,F
28,MISDEMEANOR,8,2,<18,M,18-24,M
24,VIOLATION,20,2,25-44,F,18-24,F
7,FELONY,25,2,45-64,M,25-44,F
18,MISDEMEANOR,20,2,18-24,M,18-24,M
32,FELONY,20,2,25-44,M,25-44,F
14,MISDEMEANOR,23,2,18-24,M,18-24,M
9,VIOLATION,1,3,45-64,F,25-44,M
24,VIOLATION,24,2,45-64,F,45-64,F
25,MISDEMEANOR,24,1,45-64,M,25-44,M
13,VIOLATION,10,2,18-24,M,25-44,M
18,MISDEMEANOR,21,2,25-44,M,45-64,M
6,VIOLATION,21,2,65+,F,45-64,M
34,VIOLATION,22,2,<18,M,45-64,F
6,VIOLATION,23,2,45-64,M,<18,F
33,FELONY,23,2,18-24,F,25-44,M
26,FELONY,18,2,45-64,M,25-44,F
34,MISDEMEANOR,20,2,25-44,M,45-64,M
18,FELONY,25,2,25-44,M,25-44,M
7,MISDEMEANOR,21,2,45-64,M,25-44,F
34,VIOLATION,1,3,25-44,M,25-44,F
28,FELONY,1,3,45-64,M,45-64,F
10,MISDEMEANOR,27,2,25-44,F,25-44,M
23,MISDEMEANOR,25,2,25-44,M,25-44,M
20,MISDEMEANOR,1,3,18-24,M,<18,F
5,VIOLATION,15,2,25-44,M,25-44,F
28,MISDEMEANOR,1,3,18-24,F,25-44,M
24,VIOLATION,19,2,45-64,M,45-64,F
9,MISDEMEANOR,26,2,25-44,M,25-44,M
32,VIOLATION,25,2,25-44,M,25-44,F
26,VIOLATION,22,2,45-64,F,25-44,F
23,MISDEMEANOR,26,2,25-44,M,25-44,F
5,MISDEMEANOR,24,2,25-44,M,25-44,M
14,FELONY,10,2,25-44,M,65+,M
33,MISDEMEANOR,26,2,18-24,M,18-24,M
19,VIOLATION,24,2,45-64,M,25-44,F
23,VIOLATION,1,3,18-24,F,25-44,M
17,VIOLATION,13,2,65+,F,25-44,F
32,FELONY,25,2,25-44,M,25-44,F
14,VIOLATION,21,2,25-44,M,65+,M
25,FELONY,22,2,25-44,F,65+,F
18,FELONY,20,2,25-44,M,25-44,M
23,FELONY,28,12,45-64,M,45-64,F
34,MISDEMEANOR,21,2,18-24,M,45-64,M
30,MISDEMEANOR,22,2,25-44,M,18-24,F
13,FELONY,28,2,45-64,M,25-44,F
33,MISDEMEANOR,24,2,25-44,M,<18,M
9,MISDEMEANOR,28,2,18-24,M,25-44,F
34,FELONY,27,2,25-44,M,45-64,M
14,VIOLATION,25,2,45-64,F,45-64,F
32,MISDEMEANOR,27,2,<18,M,18-24,M
26,VIOLATION,24,2,25-44,F,25-44,F
6,MISDEMEANOR,22,2,25-44,M,25-44,F
25,MISDEMEANOR,23,2,45-64,M,25-44,F
23,VIOLATION,28,2,45-64,M,45-64,F
14,FELONY,21,2,25-44,M,45-64,M
19,FELONY,25,2,25-44,M,25-44,M
14,VIOLATION,24,2,45-64,F,25-44,F
32,MISDEMEANOR,1,3,25-44,M,25-44,M
34,VIOLATION,22,2,25-44,M,18-24,F
30,FELONY,28,2,18-24,M,25-44,M
23,MISDEMEANOR,25,2,25-44,F,25-44,M
14,VIOLATION,23,2,18-24,M,25-44,M
5,FELONY,28,2,25-44,M,25-44,F
24,FELONY,1,3,25-44,F,65+,F
19,VIOLATION,19,2,18-24,M,45-64,F
19,FELONY,9,2,25-44,M,25-44,M
19,FELONY,22,2,25-44,M,25-44,F
20,MISDEMEANOR,27,2,25-44,M,25-44,F
1,MISDEMEANOR,26,2,25-44,F,25-44,M
28,MISDEMEANOR,1,3,25-44,F,45-64,M
30,MISDEMEANOR,21,2,25-44,M,<18,M
20,MISDEMEANOR,23,2,25-44,M,25-44,F
34,MISDEMEANOR,26,2,25-44,M,45-64,M
28,FELONY,23,2,18-24,M,25-44,M
24,VIOLATION,27,1,65+,M,45-64,F
18,FELONY,17,2,18-24,M,18-24,F
10,VIOLATION,13,2,25-44,F,25-44,M
6,MISDEMEANOR,13,2,25-44,M,25-44,M
23,MISDEMEANOR,11,2,18-24,M,25-44,M
24,MISDEMEANOR,18,2,45-64,F,25-44,M
19,FELONY,9,2,25-44,M,25-44,F
23,FELONY,15,2,25-44,M,65+,M
34,FELONY,13,2,25-44,M,65+,M
18,VIOLATION,18,2,45-64,M,45-64,F
5,MISDEMEANOR,12,1,45-64,M,25-44,M
25,MISDEMEANOR,8,2,25-44,M,25-44,F
32,MISDEMEANOR,12,2,25-44,M,25-44,M
23,VIOLATION,9,2,25-44,M,65+,F
18,MISDEMEANOR,16,2,45-64,F,65+,M
18,MISDEMEANOR,9,2,65+,M,65+,F
14,MISDEMEANOR,12,2,25-44,F,<18,F
25,VIOLATION,12,2,25-44,M,45-64,F
24,VIOLATION,13,2,25-44,M,25-44,F
20,MISDEMEANOR,10,2,25-44,M,25-44,M
26,MISDEMEANOR,8,2,25-44,F,25-44,F
9,VIOLATION,11,2,65+,M,45-64,F
